FID,oid,nom_dept,nom_com,insee_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x_reglementaire,y_reglementaire
mes_sudpaca_mensuel_o3.fid-4a1e4dcb_16b9690f2e4_7a4,97,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,industrielle,Périurbaine,Ozone,7,,ug.m-3,mensuelle,01/06/2018 00:00,30/06/2018 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel_o3.fid-4a1e4dcb_16b9690f2e4_7a5,96,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,industrielle,Périurbaine,Ozone,7,,ug.m-3,mensuelle,01/07/2018 00:00,31/07/2018 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel_o3.fid-4a1e4dcb_16b9690f2e4_7a6,95,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,industrielle,Périurbaine,Ozone,7,88.1,ug.m-3,mensuelle,01/08/2018 00:00,31/08/2018 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel_o3.fid-4a1e4dcb_16b9690f2e4_7a7,94,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,industrielle,Périurbaine,Ozone,7,79.6,ug.m-3,mensuelle,01/09/2018 00:00,30/09/2018 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel_o3.fid-4a1e4dcb_16b9690f2e4_7a8,93,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,industrielle,Périurbaine,Ozone,7,55.5,ug.m-3,mensuelle,01/10/2018 00:00,31/10/2018 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel_o3.fid-4a1e4dcb_16b9690f2e4_7a9,92,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,industrielle,Périurbaine,Ozone,7,43.7,ug.m-3,mensuelle,01/11/2018 00:00,30/11/2018 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel_o3.fid-4a1e4dcb_16b9690f2e4_7aa,91,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,industrielle,Périurbaine,Ozone,7,30.5,ug.m-3,mensuelle,01/12/2018 00:00,31/12/2018 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel_o3.fid-4a1e4dcb_16b9690f2e4_7ab,90,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,industrielle,Périurbaine,Ozone,7,48,ug.m-3,mensuelle,01/01/2019 00:00,31/01/2019 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel_o3.fid-4a1e4dcb_16b9690f2e4_7ac,89,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,industrielle,Périurbaine,Ozone,7,43.6,ug.m-3,mensuelle,01/02/2019 00:00,28/02/2019 23:59,true,875751.23889722,6267655.43799859
mes_sudpaca_mensuel_o3.fid-4a1e4dcb_16b9690f2e4_7ad,88,BOUCHES-DU-RHONE,Berre-l'Étang,13014,Berre l'Etang,FR02001,industrielle,Périurbaine,Ozone,7,69.6,ug.m-3,mensuelle,01/03/2019 00:00,31/03/2019 23:59,true,875751.23889722,6267655.43799859
